"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.549088648E0,-2.388916016E0,2.261212826E0,-1.411263466E0,3.579339009E0
1.554036877E0,-2.477450848E0,2.006169796E0,1.293821186E-1,3.190488941E0
1.558985106E0,-2.366719246E0,1.945437908E0,1.636636019E0,3.473422822E0
1.563933335E0,-2.303360462E0,2.190787315E0,3.102868319E0,4.442162793E0
1.568881564E0,-2.307691574E0,2.742953777E0,3.711567879E0,5.159939142E0
1.573829794E0,-2.541349888E0,3.261892796E0,3.202434063E0,5.230103994E0
1.578778023E0,-2.784664631E0,3.653522015E0,2.083629847E0,5.044213869E0
1.583726148E0,-3.129771233E0,3.533587933E0,8.621024489E-1,4.798430189E0
1.588674429E0,-3.266371727E0,3.331292152E0,-1.085319668E-1,4.666740924E0
1.593622658E0,-3.112011909E0,2.856399059E0,-6.966198087E-1,4.281227963E0
1.598570887E0,-2.673111916E0,2.439772606E0,-7.960239649E-1,3.705627050E0
1.603519116E0,-2.012187481E0,2.181263924E0,-2.277359962E-1,2.976352541E0
1.608467346E0,-1.786471844E0,1.546008587E0,7.228732705E-1,2.470661847E0
1.613415575E0,-1.905091286E0,5.416436195E-1,1.241195321E0,2.337373835E0
1.618363804E0,-2.634650230E0,-1.684341431E-1,1.033928037E0,2.835270548E0
1.623312033E0,-3.094551563E0,-1.420709610E0,1.433143139E0,3.694396355E0
1.628260262E0,-4.056410789E0,-2.344792366E0,5.473946571E0,7.205318230E0
1.633208491E0,-4.812747002E0,-2.418571472E0,7.654896975E-1,5.440404042E0
1.638156721E0,-4.996729851E0,-3.665198326E0,-2.672567844E0,6.748600363E0
1.643104950E0,-5.571564674E0,-3.607176781E0,-1.240826011E0,6.752311192E0
1.648053179E0,-1.952061176E0,5.868997574E-1,1.769171357E0,2.699066774E0
1.653001408E0,-1.818452835E0,2.186326981E-1,1.716089129E0,2.509887023E0
